,Image,TRUE,Words
0,08_100.jpg,1,"['House', 'Home', 'Building', 'Architecture', 'Tree', 'Roof', 'Vehicle', 'Cottage', 'Wheel', 'Shed']"
1,21_25.jpeg,1,"['Property', 'Real estate', 'Facade', 'Building', 'House']"
2,01_100.jpg,1,"['Roof', 'Lumber', 'Property', 'Wood', 'Home', 'Residential area', 'Scrap', 'Waste', 'Land lot', 'House', 'Demolition']"
3,07_25.jpg,1,"['House', 'Property', 'Building', 'Home', 'Roof', 'Shed', 'Architecture', 'Siding', 'Facade', 'Real estate', 'Residential area', 'Window', 'Cottage', 'Wood', 'Shack', 'Door', 'Estate', 'Historic house']"
4,13_50.jpg,1,"['Land vehicle', 'Vehicle', 'Car', 'Luxury vehicle', 'Automotive design', 'Mid-size car', 'Supercar', 'House', 'Personal luxury car', 'Performance car', 'Sports car', 'Building', 'Facade', 'Family car', 'Residential area', 'Sedan', 'Porsche', 'Porsche cayman', 'Hatchback']"
5,11_100.jpg,1,"['Earthquake', 'Geological phenomenon', 'Rubble', 'Ruins', 'Demolition', 'Waste', 'Event', 'Building', 'House']"
6,15_25.jpg,1,"['House', 'Property', 'Home', 'Real estate', 'Roof', 'Siding', 'Building', 'Tree', 'Cottage', 'Farmhouse', 'Rural area', 'Land lot', 'Barn']"
7,01_50.jpg,1,"['House', 'Home', 'Property', 'Building', 'Siding', 'Rural area', 'Residential area', 'Roof', 'Cottage', 'Real estate', 'Architecture', 'Sky', 'Log cabin', 'Shack', 'Farmhouse', 'Tree', 'Shed', 'Porch', 'Wood', 'Landscape', 'Window']"
8,2_100.jpg,1,"['Property', 'House', 'Geological phenomenon', 'Earthquake', 'Home', 'Roof', 'Event', 'Real estate', 'Facade', 'Building', 'Siding']"
9,23_25.jpg,1,"['Home', 'Property', 'Flood', 'House', 'Land lot', 'Roof', 'Event', 'Real estate', 'Cottage', 'Building', 'Rural area', 'Floodplain', 'Geological phenomenon', 'Village', 'Residential area', 'River', 'Shed']"
10,16_75.jpg,1,"['Home', 'House', 'Roof', 'Building', 'Real estate', 'Geological phenomenon', 'Stock photography']"
11,14_0.jpg,0,"['Home', 'House', 'Property', 'Residential area', 'Real estate', 'Building', 'Estate', 'Roof', 'Architecture', 'Mansion', 'Suburb', 'Sky', 'Driveway', 'Facade', 'Neighbourhood', 'Tree', 'Landscaping', 'Historic house', 'Villa', 'Land lot', 'Landscape', 'Plant', 'Lawn', 'Siding', 'Window', 'Cottage']"
12,flood_1.jpeg,1,"['Water', 'Property', 'Flood', 'Home', 'Land lot', 'Watercourse', 'House', 'Event', 'Real estate', 'Estate', 'Building', 'Landscape', 'Floodplain', 'Cottage', 'Driveway', 'Landscaping', 'Window', 'Yard']"
13,04_75.jpg,1,"['Home', 'House', 'Property', 'Cottage', 'Building', 'Real estate', 'Roof', 'Farmhouse', 'Estate', 'Rural area', 'Land lot', 'Landscape', 'Shack', 'Log cabin', 'Siding', 'Hut']"
14,09_25.jpg,1,"['House', 'Roof', 'Property', 'Building', 'Home', 'Wall', 'Residential area', 'Rural area', 'Architecture', 'Neighbourhood', 'Cottage', 'Facade', 'Farmhouse', 'Window', 'Village', 'Barn']"
15,10_0.jpg,0,"['Home', 'House', 'Property', 'Residential area', 'Real estate', 'Building', 'Siding', 'Fence', 'Architecture', 'Iron', 'Porch', 'Facade', 'Roof', 'Picket fence', 'Sky', 'Estate', 'Home fencing', 'Tree', 'Wood', 'Cottage', 'Window', 'Balcony', 'Historic house', 'Interior design', 'Mansion', 'Outdoor structure', 'Handrail', 'Gate', 'Metal']"
16,14_75.jpeg,1,"['Nature', 'Geological phenomenon', 'Vegetation', 'Property', 'Natural landscape', 'Hill station', 'Roof', 'House', 'Real estate', 'Home', 'Rural area', 'Building', 'Architecture', 'Village', 'Landscape', 'Adaptation', 'Residential area', 'Plant community', 'Estate', 'Mansion', 'Tourism', 'Villa', 'City']"
17,10_100.jpg,1,"['Geological phenomenon', 'Earthquake', 'Tree', 'Demolition', 'Adaptation', 'Event', 'Shack', 'Home', 'Rock', 'House', 'Village']"
18,03_50.jpg,1,"['Earthquake', 'Demolition', 'House', 'Rubble', 'Ruins', 'Building', 'Shack', 'Home', 'Neighbourhood', 'Event', 'Waste', 'Geological phenomenon']"
19,3_100.jpg,1,"['Demolition', 'Geological phenomenon', 'Waste', 'Earthquake', 'Event', 'Rubble', 'Tsunami', 'Pollution', 'Residential area', 'Vehicle']"
20,7_75.jpeg,1,"['Geological phenomenon', 'Property', 'Home', 'Earthquake', 'House', 'Shack', 'Event', 'Building', 'Roof', 'Tsunami', 'Flood']"
21,05_25.jpg,1,"['Property', 'House', 'Building', 'Residential area', 'Home', 'Real estate', 'Land lot', 'Rural area', 'Sky', 'Architecture', 'Estate', 'Tree', 'Road', 'Cottage', 'Village', 'Roof', 'Facade']"
22,11_50.jpg,1,"['Home', 'Roof', 'House', 'Property', 'Siding', 'Real estate', 'Building', 'Lighting', 'Cottage', 'Residential area', 'Sky', 'Estate', 'Tree', 'Architecture', 'Window', 'Farmhouse', 'Porch', 'Facade', 'North american fraternity and sorority housing', 'Inn']"
23,8_100.jpeg,1,"['Rubble', 'Demolition', 'Barbecue', 'Brick', 'Grilling', 'Cooking', 'Scrap', 'Metal']"
24,18_75.jpg,1,"['Property', 'House', 'Home', 'Land lot', 'Roof', 'Building', 'Shack', 'Rural area', 'Cottage', 'Geological phenomenon', 'Shed', 'Residential area', 'Village', 'Barn']"
25,09_0.jpg,0,"['House', 'Home', 'Property', 'Real estate', 'Building', 'Residential area', 'Yellow', 'Neighbourhood', 'Architecture', 'Facade', 'Estate', 'Sky', 'Roof', 'Window', 'Tree', 'Cottage', 'Historic house', 'Apartment']"
26,06_75.jpg,1,"['House', 'Property', 'Roof', 'Home', 'Building', 'Architecture', 'Residential area', 'Neighbourhood', 'Real estate', 'Facade', 'Window', 'Estate', 'Cottage']"
27,10_100.jpeg,1,"['Earthquake', 'Geological phenomenon', 'Tree', 'Adaptation', 'Demolition', 'Event', 'Shack', 'Wood', 'Home', 'Rock', 'Village']"
28,21_25.jpg,1,"['Property', 'Facade', 'Real estate', 'Building', 'House']"
29,14_75.jpg,1,"['Geological phenomenon', 'Vegetation', 'Property', 'Natural landscape', 'Hill station', 'House', 'Real estate', 'Home', 'Roof', 'Building', 'Rural area', 'Architecture', 'Landscape', 'Village', 'Adaptation', 'Plant community', 'Estate', 'Photography', 'Residential area', 'Mansion', 'Tourism', 'Villa', 'City']"
30,07_50.JKPG.jpg,1,"['House', 'Home', 'Residential area', 'Property', 'Building', 'Demolition', 'Neighbourhood', 'Roof', 'Architecture', 'Earthquake', 'Rubble', 'Event', 'Car', 'Vehicle', 'Siding']"
31,09_100.jpg,1,"['House', 'Tree', 'Building', 'Home', 'Architecture', 'Plant']"
32,1_50.jpeg,1,"['House', 'Home', 'Roof', 'Property', 'Siding', 'Building', 'Neighbourhood', 'Demolition', 'Earthquake']"
33,12_0.jpg,0,"['Property', 'Home', 'House', 'Real estate', 'Building', 'Residential area', 'Estate', 'Roof', 'Facade', 'Neighbourhood', 'Architecture', 'Driveway', 'Tree', 'Mansion', 'Window', 'Siding', 'Cottage', 'Land lot', 'Landscape', 'Landscaping', 'Suburb', 'Door']"
34,2_100.jpeg,1,"['Property', 'House', 'Geological phenomenon', 'Home', 'Roof', 'Earthquake', 'Event', 'Real estate', 'Siding', 'Facade', 'Building']"
35,3_100.jpeg,1,"['Demolition', 'Geological phenomenon', 'Earthquake', 'Waste', 'Rubble', 'Event', 'Residential area', 'Tsunami']"
36,10_75.jpg,1,"['House', 'Home', 'Property', 'Building', 'Real estate', 'Roof', 'Cottage', 'Porch', 'Siding', 'Room', 'Architecture', 'Residential area', 'Facade']"
37,02_75.jpg,1,"['House', 'Building', 'Shack', 'Architecture', 'Home', 'Roof', 'Rural area', 'Adaptation', 'Ruins', 'Historic site', 'Village', 'Earthquake', 'Hut']"
38,02_100.jpg,1,"['Demolition', 'Earthquake', 'Rubble', 'Roof', 'House', 'Ruins', 'Home', 'Rural area', 'Geological phenomenon', 'Scrap', 'Waste', 'Event', 'Building', 'Wood']"
39,12_100.jpg,1,"['Geological phenomenon', 'Earthquake', 'Roof', 'Event', 'House', 'Residential area', 'Landslide', 'Building']"
40,16_75.jpeg,1,"['Home', 'House', 'Roof', 'Building', 'Real estate', 'Geological phenomenon', 'Metal']"
41,01_25.jpg,1,"['Home', 'House', 'Property', 'Roof', 'Estate', 'Residential area', 'Building', 'Real estate', 'Farmhouse', 'Cottage', 'Brick', 'Siding', 'Grass', 'Historic house', 'Land lot', 'Suburb', 'Manor house', 'Architecture', 'Rural area', 'North american fraternity and sorority housing', 'Mansion', 'Landscaping', 'Landscape', 'Lawn', 'Facade', 'Almshouse']"
42,15_50.jpg,1,"['Sky', 'Building', 'Home', 'Architecture', 'House', 'Cottage', 'Roof', 'Farmhouse', 'Night', 'Landscape', 'Facade', 'Rural area', 'Hut', 'Mansion', 'Cloud', 'Mountain range', 'Log cabin', 'Historic house', 'Evening', 'Residential area', 'Hill', 'Moonlight', 'Barn', 'Chapel']"
43,17_100.jpeg,1,"['Roof', 'Waste', 'Geological phenomenon', 'Earthquake', 'House', 'Building']"
44,15_0.jpg,0,"['Home', 'House', 'Property', 'Residential area', 'Real estate', 'Building', 'Neighbourhood', 'Tree', 'Sky', 'Architecture', 'Suburb', 'Facade', 'Roof', 'Cottage', 'Siding', 'Landscape', 'Plant', 'Estate', 'Landscaping']"
45,13_25.jpg,1,"['Property', 'Building', 'House', 'Residential area', 'Town', 'Home', 'Facade', 'Neighbourhood', 'Real estate', 'Cottage', 'Village', 'Rural area', 'Architecture', 'Suburb', 'Roof', 'Window']"
46,22_25.jpeg,1,"['Geological phenomenon', 'Property', 'House', 'Neighbourhood', 'Land lot', 'Residential area', 'Cottage', 'Soil', 'Home', 'Rural area', 'Village', 'Tree', 'Building', 'Roof', 'Rock', 'Road']"
